"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
23,"Jackson,Bobby","jacksbo01",1997,0,0,0,0
24,"Rhodes,Rodrick","rhodero01",1997,0,0,0,0
25,"Thomas,John","thomajo02",1997,0,0,0,0
26,"Smith,Charles","smithch04",1997,0,0,0,0
27,"Vaughn,Jacque","vaughja01",1997,0,0,0,0
28,"Booth,Keith","boothke01",1997,0,0,0,0
29,"Zwikker,Serge",NA,1997,0,0,0,0
30,"Sanford,Mark",NA,1997,0,0,0,0
31,"O'Bannon,Charles","obannch01",1997,0,0,0,0
32,"Cotton,James","cottoja02",1997,0,0,0,0
33,"Milič,Marko","milicma01",1997,0,0,0,0
34,"Wells,Bubba","wellsbu01",1997,0,0,0,0
35,"Stewart,Kebu","stewake01",1997,0,0,0,0
36,"Collins,James","collija01",1997,0,0,0,0
37,"Jackson,Marc","jacksma02",1997,0,0,0,0
38,"Honeycutt,Jerald","honeyje01",1997,0,0,0,0
39,"Johnson,Anthony","johnsan02",1997,0,0,0,0
40,"Elisma,Eddie",NA,1997,0,0,0,0
41,"Lawson,Jason","lawsoja01",1997,0,0,0,0
42,"Jackson,Stephen","jacksst02",1997,0,0,0,0
43,"Malone,Gordon",NA,1997,0,0,0,0
44,"Henderson,Cedric","hendece02",1997,0,0,0,0
45,"Shammgod,God","shammgo01",1997,0,0,0,0
46,"Washington,Eric","washier01",1997,0,0,0,0
47,"Williams,Alvin","willial02",1997,0,0,0,0
48,"Drobnjak,Predrag","drobnpr01",1997,0,0,0,0
49,"Digbeu,Alain",NA,1997,0,0,0,0
50,"Crawford,Chris","crawfch01",1997,0,0,0,0
51,"Wheat,DeJuan","wheatde01",1997,0,0,0,0
52,"Bruton,C.J.",NA,1997,0,0,0,0
53,"Rogers,Paul",NA,1997,0,0,0,0
54,"Blount,Mark","blounma01",1997,0,0,0,0
55,"Pepper,Ben",NA,1997,0,0,0,0
56,"Erdmann,Nate",NA,1997,0,0,0,0
57,"Duenas,Roberto",NA,1997,0,0,0,0
1,"Olowokandi,Michael","olowomi01",1998,0,0,0,0
2,"Bibby,Mike","bibbymi01",1998,0,0,0,0
3,"LaFrentz,Raef","lafrera01",1998,0,0,0,0
4,"Jamison,Antawn","jamisan01",1998,2,0,0,0
5,"Carter,Vince","cartevi01",1998,8,0,1,1
6,"Traylor,Robert","traylro01",1998,0,0,0,0
7,"Williams,Jason","willija02",1998,0,0,0,0
8,"Hughes,Larry","hughela01",1998,0,0,0,0
9,"Nowitzki,Dirk","nowitdi01",1998,14,4,5,3
10,"Pierce,Paul","piercpa01",1998,10,0,1,3
11,"Wells,Bonzi","wellsbo01",1998,0,0,0,0
12,"Doleac,Michael","doleami01",1998,0,0,0,0
13,"Clark,Keon","clarkke01",1998,0,0,0,0
14,"Dickerson,Michael","dickemi01",1998,0,0,0,0
15,"Harpring,Matt","harprma01",1998,0,0,0,0
16,"Drew,Bryce","drewbr01",1998,0,0,0,0
17,"Nesterović,Rasho","nestera01",1998,0,0,0,0
18,"Türkcan,Mirsad","turkcmi01",1998,0,0,0,0
19,"Garrity,Pat","garripa01",1998,0,0,0,0
20,"McLeod,Roshown","mcleoro01",1998,0,0,0,0
21,"Davis,Ricky","davisri01",1998,0,0,0,0
22,"Skinner,Brian","skinnbr01",1998,0,0,0,0
23,"Lue,Tyronn","luety01",1998,0,0,0,0
24,"López,Felipe","lopezfe01",1998,0,0,0,0
25,"Harrington,Al","harrial01",1998,0,0,0,0
26,"Jacobson,Sam","jacobsa01",1998,0,0,0,0
27,"Stepania,Vladimir","stepavl01",1998,0,0,0,0
28,"Benjamin,Corey","benjaco01",1998,0,0,0,0
29,"Mohammed,Nazr","mohamna01",1998,0,0,0,0
30,"Sesay,Ansu","sesayan01",1998,0,0,0,0
31,"Patterson,Ruben","patteru01",1998,0,0,0,0
32,"Lewis,Rashard","lewisra02",1998,2,0,0,0
33,"McCoy,Jelani","mccoyje01",1998,0,0,0,0
34,"Williams,Shammond","willish01",1998,0,0,0,0
35,"Šundov,Bruno","sundobr01",1998,0,0,0,0
36,"James,Jerome","jamesje01",1998,0,0,0,0
37,"Shaw,Casey","shawca01",1998,0,0,0,0
38,"Johnson,DeMarco","johnsde02",1998,0,0,0,0
39,"Alston,Rafer","alstora01",1998,0,0,0,0
