"series_code","away","home","winner","avg_margin","games","away_url","home_url","away_net","home_net","net","home_win"
"Brooklyn Nets_Philadelphia 76ers_2019","Brooklyn Nets","Philadelphia 76ers","Philadelphia 76ers",11,5,"/teams/BRK/2019.html","/teams/PHI/2019.html",-0.0999999999999943,2.7,2.8,1
"Orlando Magic_Toronto Raptors_2019","Orlando Magic","Toronto Raptors","Toronto Raptors",14.4,5,"/teams/ORL/2019.html","/teams/TOR/2019.html",0.700000000000003,6,5.3,1
"Golden State Warriors_Los Angeles Clippers_2019","Los Angeles Clippers","Golden State Warriors","Golden State Warriors",9.83333333333333,6,"/teams/LAC/2019.html","/teams/GSW/2019.html",0.799999999999997,6.5,5.7,1
"Denver Nuggets_San Antonio Spurs_2019","San Antonio Spurs","Denver Nuggets","Denver Nuggets",1.85714285714286,7,"/teams/SAS/2019.html","/teams/DEN/2019.html",1.7,4,2.3,1
"Boston Celtics_Indiana Pacers_2019","Indiana Pacers","Boston Celtics","Boston Celtics",7.5,4,"/teams/IND/2019.html","/teams/BOS/2019.html",3.3,4.40000000000001,1.10000000000001,1
"Oklahoma City Thunder_Portland Trail Blazers_2019","Oklahoma City Thunder","Portland Trail Blazers","Portland Trail Blazers",5.8,5,"/teams/OKC/2019.html","/teams/POR/2019.html",3.40000000000001,4.2,0.799999999999997,1
"Detroit Pistons_Milwaukee Bucks_2019","Detroit Pistons","Milwaukee Bucks","Milwaukee Bucks",23.75,4,"/teams/DET/2019.html","/teams/MIL/2019.html",-0.299999999999997,8.8,9.09999999999999,1
"Houston Rockets_Utah Jazz_2019","Utah Jazz","Houston Rockets","Houston Rockets",9.2,5,"/teams/UTA/2019.html","/teams/HOU/2019.html",5.2,4.80000000000001,-0.399999999999991,1
"Philadelphia 76ers_Toronto Raptors_2019","Philadelphia 76ers","Toronto Raptors","Toronto Raptors",2.71428571428571,7,"/teams/PHI/2019.html","/teams/TOR/2019.html",2.7,6,3.3,1
"Boston Celtics_Milwaukee Bucks_2019","Boston Celtics","Milwaukee Bucks","Milwaukee Bucks",8.6,5,"/teams/BOS/2019.html","/teams/MIL/2019.html",4.40000000000001,8.8,4.39999999999999,1
"Golden State Warriors_Houston Rockets_2019","Houston Rockets","Golden State Warriors","Golden State Warriors",1.83333333333333,6,"/teams/HOU/2019.html","/teams/GSW/2019.html",4.80000000000001,6.5,1.69999999999999,1
"Denver Nuggets_Portland Trail Blazers_2019","Portland Trail Blazers","Denver Nuggets","Portland Trail Blazers",1.85714285714286,7,"/teams/POR/2019.html","/teams/DEN/2019.html",4.2,4,-0.200000000000003,0
"Golden State Warriors_Portland Trail Blazers_2019","Portland Trail Blazers","Golden State Warriors","Golden State Warriors",9.5,4,"/teams/POR/2019.html","/teams/GSW/2019.html",4.2,6.5,2.3,1
"Milwaukee Bucks_Toronto Raptors_2019","Toronto Raptors","Milwaukee Bucks","Toronto Raptors",-1,6,"/teams/TOR/2019.html","/teams/MIL/2019.html",6,8.8,2.8,0
"Golden State Warriors_Toronto Raptors_2019","Golden State Warriors","Toronto Raptors","Toronto Raptors",5.66666666666667,6,"/teams/GSW/2019.html","/teams/TOR/2019.html",6.5,6,-0.5,1
"Golden State Warriors_San Antonio Spurs_2018","San Antonio Spurs","Golden State Warriors","Golden State Warriors",8.8,5,"/teams/SAS/2018.html","/teams/GSW/2018.html",2.90000000000001,6,3.09999999999999,1
"Toronto Raptors_Washington Wizards_2018","Washington Wizards","Toronto Raptors","Toronto Raptors",2,6,"/teams/WAS/2018.html","/teams/TOR/2018.html",0.599999999999994,7.8,7.2,1
"Miami Heat_Philadelphia 76ers_2018","Miami Heat","Philadelphia 76ers","Philadelphia 76ers",10.8,5,"/teams/MIA/2018.html","/teams/PHI/2018.html",0.5,4.5,4,1
"New Orleans Pelicans_Portland Trail Blazers_2018","New Orleans Pelicans","Portland Trail Blazers","New Orleans Pelicans",-9,4,"/teams/NOP/2018.html","/teams/POR/2018.html",1.3,2.59999999999999,1.3,0
"Boston Celtics_Milwaukee Bucks_2018","Milwaukee Bucks","Boston Celtics","Boston Celtics",0.571428571428571,7,"/teams/MIL/2018.html","/teams/BOS/2018.html",-0.299999999999997,3.59999999999999,3.89999999999999,1
"Cleveland Cavaliers_Indiana Pacers_2018","Indiana Pacers","Cleveland Cavaliers","Cleveland Cavaliers",-5.71428571428571,7,"/teams/IND/2018.html","/teams/CLE/2018.html",1.39999999999999,1,-0.399999999999991,1
"Oklahoma City Thunder_Utah Jazz_2018","Utah Jazz","Oklahoma City Thunder","Utah Jazz",-4.33333333333333,6,"/teams/UTA/2018.html","/teams/OKC/2018.html",4.3,3.5,-0.799999999999997,0
"Houston Rockets_Minnesota Timberwolves_2018","Minnesota Timberwolves","Houston Rockets","Houston Rockets",8.8,5,"/teams/MIN/2018.html","/teams/HOU/2018.html",2.2,8.5,6.3,1
"Golden State Warriors_New Orleans Pelicans_2018","New Orleans Pelicans","Golden State Warriors","Golden State Warriors",8.6,5,"/teams/NOP/2018.html","/teams/GSW/2018.html",1.3,6,4.7,1
"Houston Rockets_Utah Jazz_2018","Utah Jazz","Houston Rockets","Houston Rockets",10,5,"/teams/UTA/2018.html","/teams/HOU/2018.html",4.3,8.5,4.2,1
"Boston Celtics_Philadelphia 76ers_2018","Philadelphia 76ers","Boston Celtics","Boston Celtics",3,5,"/teams/PHI/2018.html","/teams/BOS/2018.html",4.5,3.59999999999999,-0.900000000000006,1
"Cleveland Cavaliers_Toronto Raptors_2018","Cleveland Cavaliers","Toronto Raptors","Cleveland Cavaliers",-14,4,"/teams/CLE/2018.html","/teams/TOR/2018.html",1,7.8,6.8,0
"Boston Celtics_Cleveland Cavaliers_2018","Cleveland Cavaliers","Boston Celtics","Cleveland Cavaliers",-0.857142857142857,7,"/teams/CLE/2018.html","/teams/BOS/2018.html",1,3.59999999999999,2.59999999999999,0
"Golden State Warriors_Houston Rockets_2018","Golden State Warriors","Houston Rockets","Golden State Warriors",-9,7,"/teams/GSW/2018.html","/teams/HOU/2018.html",6,8.5,2.5,0
"Cleveland Cavaliers_Golden State Warriors_2018","Cleveland Cavaliers","Golden State Warriors","Golden State Warriors",15,4,"/teams/CLE/2018.html","/teams/GSW/2018.html",1,6,5,1
"Cleveland Cavaliers_Indiana Pacers_2017","Indiana Pacers","Cleveland Cavaliers","Cleveland Cavaliers",4,4,"/teams/IND/2017.html","/teams/CLE/2017.html",-0.200000000000003,3.09999999999999,3.3,1
"Milwaukee Bucks_Toronto Raptors_2017","Milwaukee Bucks","Toronto Raptors","Toronto Raptors",0.666666666666667,6,"/teams/MIL/2017.html","/teams/TOR/2017.html",-0.200000000000003,4.30000000000001,4.50000000000001,1
"Memphis Grizzlies_San Antonio Spurs_2017","Memphis Grizzlies","San Antonio Spurs","San Antonio Spurs",8.33333333333333,6,"/teams/MEM/2017.html","/teams/SAS/2017.html",0.5,7.2,6.7,1
"Los Angeles Clippers_Utah Jazz_2017","Utah Jazz","Los Angeles Clippers","Utah Jazz",-1.14285714285714,7,"/teams/UTA/2017.html","/teams/LAC/2017.html",3.90000000000001,4.3,0.399999999999991,0
"Atlanta Hawks_Washington Wizards_2017","Atlanta Hawks","Washington Wizards","Washington Wizards",1.16666666666667,6,"/teams/ATL/2017.html","/teams/WAS/2017.html",-0.799999999999997,1.8,2.59999999999999,1
"Golden State Warriors_Portland Trail Blazers_2017","Portland Trail Blazers","Golden State Warriors","Golden State Warriors",18,4,"/teams/POR/2017.html","/teams/GSW/2017.html",-0.599999999999994,11.6,12.2,1
"Boston Celtics_Chicago Bulls_2017","Chicago Bulls","Boston Celtics","Boston Celtics",6.83333333333333,6,"/teams/CHI/2017.html","/teams/BOS/2017.html",0.5,2.59999999999999,2.09999999999999,1
"Houston Rockets_Oklahoma City Thunder_2017","Oklahoma City Thunder","Houston Rockets","Houston Rockets",8.6,5,"/teams/OKC/2017.html","/teams/HOU/2017.html",0.799999999999997,5.7,4.90000000000001,1
"Boston Celtics_Washington Wizards_2017","Washington Wizards","Boston Celtics","Boston Celtics",1,7,"/teams/WAS/2017.html","/teams/BOS/2017.html",1.8,2.59999999999999,0.799999999999997,1
"Cleveland Cavaliers_Toronto Raptors_2017","Toronto Raptors","Cleveland Cavaliers","Cleveland Cavaliers",15.25,4,"/teams/TOR/2017.html","/teams/CLE/2017.html",4.30000000000001,3.09999999999999,-1.20000000000002,1
"Houston Rockets_San Antonio Spurs_2017","Houston Rockets","San Antonio Spurs","San Antonio Spurs",5,6,"/teams/HOU/2017.html","/teams/SAS/2017.html",5.7,7.2,1.5,1
"Golden State Warriors_Utah Jazz_2017","Utah Jazz","Golden State Warriors","Golden State Warriors",15,4,"/teams/UTA/2017.html","/teams/GSW/2017.html",3.90000000000001,11.6,7.7,1
"Golden State Warriors_San Antonio Spurs_2017","San Antonio Spurs","Golden State Warriors","Golden State Warriors",16,4,"/teams/SAS/2017.html","/teams/GSW/2017.html",7.2,11.6,4.40000000000001,1
"Boston Celtics_Cleveland Cavaliers_2017","Cleveland Cavaliers","Boston Celtics","Cleveland Cavaliers",-20,5,"/teams/CLE/2017.html","/teams/BOS/2017.html",3.09999999999999,2.59999999999999,-0.5,0
"Cleveland Cavaliers_Golden State Warriors_2017","Cleveland Cavaliers","Golden State Warriors","Golden State Warriors",6.8,5,"/teams/CLE/2017.html","/teams/GSW/2017.html",3.09999999999999,11.6,8.50000000000001,1
"Indiana Pacers_Toronto Raptors_2016","Indiana Pacers","Toronto Raptors","Toronto Raptors",-1.42857142857143,7,"/teams/IND/2016.html","/teams/TOR/2016.html",1.7,4.5,2.8,1
"Golden State Warriors_Houston Rockets_2016","Houston Rockets","Golden State Warriors","Golden State Warriors",18.8,5,"/teams/HOU/2016.html","/teams/GSW/2016.html",0.0999999999999943,10.8,10.7,1
"Atlanta Hawks_Boston Celtics_2016","Boston Celtics","Atlanta Hawks","Atlanta Hawks",6.66666666666667,6,"/teams/BOS/2016.html","/teams/ATL/2016.html",3.2,3.59999999999999,0.399999999999991,1
"Dallas Mavericks_Oklahoma City Thunder_2016","Dallas Mavericks","Oklahoma City Thunder","Oklahoma City Thunder",18.2,5,"/teams/DAL/2016.html","/teams/OKC/2016.html",-0.299999999999997,7.3,7.59999999999999,1
"Cleveland Cavaliers_Detroit Pistons_2016","Detroit Pistons","Cleveland Cavaliers","Cleveland Cavaliers",8.5,4,"/teams/DET/2016.html","/teams/CLE/2016.html",0.599999999999994,6,5.40000000000001,1
"Charlotte Hornets_Miami Heat_2016","Charlotte Hornets","Miami Heat","Miami Heat",8.85714285714286,7,"/teams/CHO/2016.html","/teams/MIA/2016.html",2.7,1.59999999999999,-1.10000000000001,1
"Memphis Grizzlies_San Antonio Spurs_2016","Memphis Grizzlies","San Antonio Spurs","San Antonio Spurs",22,4,"/teams/MEM/2016.html","/teams/SAS/2016.html",-2.2,10.6,12.8,1
"Los Angeles Clippers_Portland Trail Blazers_2016","Portland Trail Blazers","Los Angeles Clippers","Portland Trail Blazers",1,6,"/teams/POR/2016.html","/teams/LAC/2016.html",0.799999999999997,4.3,3.5,0
"Oklahoma City Thunder_San Antonio Spurs_2016","Oklahoma City Thunder","San Antonio Spurs","Oklahoma City Thunder",0.5,6,"/teams/OKC/2016.html","/teams/SAS/2016.html",7.3,10.6,3.3,0
"Golden State Warriors_Portland Trail Blazers_2016","Portland Trail Blazers","Golden State Warriors","Golden State Warriors",4.4,5,"/teams/POR/2016.html","/teams/GSW/2016.html",0.799999999999997,10.8,10,1
"Atlanta Hawks_Cleveland Cavaliers_2016","Atlanta Hawks","Cleveland Cavaliers","Cleveland Cavaliers",12.5,4,"/teams/ATL/2016.html","/teams/CLE/2016.html",3.59999999999999,6,2.40000000000001,1
"Miami Heat_Toronto Raptors_2016","Miami Heat","Toronto Raptors","Toronto Raptors",2.57142857142857,7,"/teams/MIA/2016.html","/teams/TOR/2016.html",1.59999999999999,4.5,2.90000000000001,1
"Golden State Warriors_Oklahoma City Thunder_2016","Oklahoma City Thunder","Golden State Warriors","Golden State Warriors",-1,7,"/teams/OKC/2016.html","/teams/GSW/2016.html",7.3,10.8,3.50000000000001,1
"Cleveland Cavaliers_Toronto Raptors_2016","Toronto Raptors","Cleveland Cavaliers","Cleveland Cavaliers",15.5,6,"/teams/TOR/2016.html","/teams/CLE/2016.html",4.5,6,1.5,1
"Cleveland Cavaliers_Golden State Warriors_2016","Cleveland Cavaliers","Golden State Warriors","Cleveland Cavaliers",-0.571428571428571,7,"/teams/CLE/2016.html","/teams/GSW/2016.html",6,10.8,4.80000000000001,0
"Toronto Raptors_Washington Wizards_2015","Washington Wizards","Toronto Raptors","Washington Wizards",-14,4,"/teams/WAS/2015.html","/teams/TOR/2015.html",0.700000000000003,3.09999999999999,2.39999999999999,0
"Golden State Warriors_New Orleans Pelicans_2015","New Orleans Pelicans","Golden State Warriors","Golden State Warriors",8,4,"/teams/NOP/2015.html","/teams/GSW/2015.html",0.800000000000011,10.1,9.29999999999998,1
"Chicago Bulls_Milwaukee Bucks_2015","Milwaukee Bucks","Chicago Bulls","Chicago Bulls",12.3333333333333,6,"/teams/MIL/2015.html","/teams/CHI/2015.html",0.399999999999991,3,2.60000000000001,1
"Dallas Mavericks_Houston Rockets_2015","Dallas Mavericks","Houston Rockets","Houston Rockets",4.2,5,"/teams/DAL/2015.html","/teams/HOU/2015.html",2.90000000000001,3.40000000000001,0.5,1
"Boston Celtics_Cleveland Cavaliers_2015","Boston Celtics","Cleveland Cavaliers","Cleveland Cavaliers",9.25,4,"/teams/BOS/2015.html","/teams/CLE/2015.html",0.200000000000003,4.39999999999999,4.19999999999999,1
"Atlanta Hawks_Brooklyn Nets_2015","Brooklyn Nets","Atlanta Hawks","Atlanta Hawks",5.5,6,"/teams/BRK/2015.html","/teams/ATL/2015.html",-2.90000000000001,5.40000000000001,8.30000000000001,1
"Memphis Grizzlies_Portland Trail Blazers_2015","Portland Trail Blazers","Memphis Grizzlies","Memphis Grizzlies",6.8,5,"/teams/POR/2015.html","/teams/MEM/2015.html",4.2,3.2,-1,1
"Los Angeles Clippers_San Antonio Spurs_2015","San Antonio Spurs","Los Angeles Clippers","Los Angeles Clippers",-0.428571428571429,7,"/teams/SAS/2015.html","/teams/LAC/2015.html",6.2,6.60000000000001,0.400000000000006,1
"Atlanta Hawks_Washington Wizards_2015","Washington Wizards","Atlanta Hawks","Atlanta Hawks",2.83333333333333,6,"/teams/WAS/2015.html","/teams/ATL/2015.html",0.700000000000003,5.40000000000001,4.7,1
"Golden State Warriors_Memphis Grizzlies_2015","Memphis Grizzlies","Golden State Warriors","Golden State Warriors",8,6,"/teams/MEM/2015.html","/teams/GSW/2015.html",3.2,10.1,6.89999999999999,1
"Chicago Bulls_Cleveland Cavaliers_2015","Chicago Bulls","Cleveland Cavaliers","Cleveland Cavaliers",5.5,6,"/teams/CHI/2015.html","/teams/CLE/2015.html",3,4.39999999999999,1.39999999999999,1
"Houston Rockets_Los Angeles Clippers_2015","Los Angeles Clippers","Houston Rockets","Houston Rockets",-3.14285714285714,7,"/teams/LAC/2015.html","/teams/HOU/2015.html",6.60000000000001,3.40000000000001,-3.2,1
"Golden State Warriors_Houston Rockets_2015","Houston Rockets","Golden State Warriors","Golden State Warriors",8.2,5,"/teams/HOU/2015.html","/teams/GSW/2015.html",3.40000000000001,10.1,6.69999999999999,1
"Atlanta Hawks_Cleveland Cavaliers_2015","Cleveland Cavaliers","Atlanta Hawks","Cleveland Cavaliers",-13.25,4,"/teams/CLE/2015.html","/teams/ATL/2015.html",4.39999999999999,5.40000000000001,1.00000000000001,0
"Cleveland Cavaliers_Golden State Warriors_2015","Cleveland Cavaliers","Golden State Warriors","Golden State Warriors",7.16666666666667,6,"/teams/CLE/2015.html","/teams/GSW/2015.html",4.39999999999999,10.1,5.7,1
"Brooklyn Nets_Toronto Raptors_2014","Brooklyn Nets","Toronto Raptors","Brooklyn Nets",-1.57142857142857,7,"/teams/BRK/2014.html","/teams/TOR/2014.html",-1,3.3,4.3,0
"Golden State Warriors_Los Angeles Clippers_2014","Golden State Warriors","Los Angeles Clippers","Los Angeles Clippers",4.42857142857143,7,"/teams/GSW/2014.html","/teams/LAC/2014.html",4.8,6.90000000000001,2.10000000000001,1
"Atlanta Hawks_Indiana Pacers_2014","Atlanta Hawks","Indiana Pacers","Indiana Pacers",1,7,"/teams/ATL/2014.html","/teams/IND/2014.html",-0.5,4.40000000000001,4.90000000000001,1
"Memphis Grizzlies_Oklahoma City Thunder_2014","Memphis Grizzlies","Oklahoma City Thunder","Oklahoma City Thunder",5.42857142857143,7,"/teams/MEM/2014.html","/teams/OKC/2014.html",1.5,6.40000000000001,4.90000000000001,1
"Dallas Mavericks_San Antonio Spurs_2014","Dallas Mavericks","San Antonio Spurs","San Antonio Spurs",2,7,"/teams/DAL/2014.html","/teams/SAS/2014.html",2.39999999999999,7.80000000000001,5.40000000000002,1
"Charlotte Bobcats_Miami Heat_2014","Charlotte Bobcats","Miami Heat","Miami Heat",9.75,4,"/teams/CHA/2014.html","/teams/MIA/2014.html",-0.199999999999989,4.8,4.99999999999999,1
"Chicago Bulls_Washington Wizards_2014","Washington Wizards","Chicago Bulls","Washington Wizards",-4.6,5,"/teams/WAS/2014.html","/teams/CHI/2014.html",1.3,1.90000000000001,0.600000000000009,0
"Houston Rockets_Portland Trail Blazers_2014","Portland Trail Blazers","Houston Rockets","Portland Trail Blazers",0.333333333333333,6,"/teams/POR/2014.html","/teams/HOU/2014.html",3.90000000000001,4.60000000000001,0.700000000000003,0
"Indiana Pacers_Washington Wizards_2014","Washington Wizards","Indiana Pacers","Indiana Pacers",2.16666666666667,6,"/teams/WAS/2014.html","/teams/IND/2014.html",1.3,4.40000000000001,3.10000000000001,1
"Los Angeles Clippers_Oklahoma City Thunder_2014","Los Angeles Clippers","Oklahoma City Thunder","Oklahoma City Thunder",0.833333333333333,6,"/teams/LAC/2014.html","/teams/OKC/2014.html",6.90000000000001,6.40000000000001,-0.5,1
"Brooklyn Nets_Miami Heat_2014","Brooklyn Nets","Miami Heat","Miami Heat",5.4,5,"/teams/BRK/2014.html","/teams/MIA/2014.html",-1,4.8,5.8,1
"Portland Trail Blazers_San Antonio Spurs_2014","Portland Trail Blazers","San Antonio Spurs","San Antonio Spurs",13.4,5,"/teams/POR/2014.html","/teams/SAS/2014.html",3.90000000000001,7.80000000000001,3.90000000000001,1
"Indiana Pacers_Miami Heat_2014","Miami Heat","Indiana Pacers","Miami Heat",-6.5,6,"/teams/MIA/2014.html","/teams/IND/2014.html",4.8,4.40000000000001,-0.399999999999991,0
"Oklahoma City Thunder_San Antonio Spurs_2014","Oklahoma City Thunder","San Antonio Spurs","San Antonio Spurs",10.5,6,"/teams/OKC/2014.html","/teams/SAS/2014.html",6.40000000000001,7.80000000000001,1.40000000000001,1
"Miami Heat_San Antonio Spurs_2014","Miami Heat","San Antonio Spurs","San Antonio Spurs",14,5,"/teams/MIA/2014.html","/teams/SAS/2014.html",4.8,7.80000000000001,3.00000000000001,1
"Boston Celtics_New York Knicks_2013","Boston Celtics","New York Knicks","New York Knicks",5.33333333333333,6,"/teams/BOS/2013.html","/teams/NYK/2013.html",-0.200000000000003,4.3,4.5,1
"Denver Nuggets_Golden State Warriors_2013","Golden State Warriors","Denver Nuggets","Golden State Warriors",-4.16666666666667,6,"/teams/GSW/2013.html","/teams/DEN/2013.html",0.900000000000006,5,4.09999999999999,0
"Brooklyn Nets_Chicago Bulls_2013","Chicago Bulls","Brooklyn Nets","Chicago Bulls",2,7,"/teams/CHI/2013.html","/teams/BRK/2013.html",0.299999999999997,1.80000000000001,1.50000000000001,0
"Los Angeles Clippers_Memphis Grizzlies_2013","Memphis Grizzlies","Los Angeles Clippers","Memphis Grizzlies",-5.5,6,"/teams/MEM/2013.html","/teams/LAC/2013.html",4.10000000000001,6.5,2.39999999999999,0
"Atlanta Hawks_Indiana Pacers_2013","Atlanta Hawks","Indiana Pacers","Indiana Pacers",5.16666666666667,6,"/teams/ATL/2013.html","/teams/IND/2013.html",0.5,4,3.5,1
"Los Angeles Lakers_San Antonio Spurs_2013","Los Angeles Lakers","San Antonio Spurs","San Antonio Spurs",18.75,4,"/teams/LAL/2013.html","/teams/SAS/2013.html",1.2,6.40000000000001,5.2,1
"Miami Heat_Milwaukee Bucks_2013","Milwaukee Bucks","Miami Heat","Miami Heat",14.75,4,"/teams/MIL/2013.html","/teams/MIA/2013.html",-1.5,7.90000000000001,9.40000000000001,1
"Houston Rockets_Oklahoma City Thunder_2013","Houston Rockets","Oklahoma City Thunder","Oklahoma City Thunder",5.83333333333333,6,"/teams/HOU/2013.html","/teams/OKC/2013.html",3.5,9.2,5.7,1
"Memphis Grizzlies_Oklahoma City Thunder_2013","Memphis Grizzlies","Oklahoma City Thunder","Memphis Grizzlies",-4,5,"/teams/MEM/2013.html","/teams/OKC/2013.html",4.10000000000001,9.2,5.09999999999999,0
"Indiana Pacers_New York Knicks_2013","Indiana Pacers","New York Knicks","Indiana Pacers",0,6,"/teams/IND/2013.html","/teams/NYK/2013.html",4,4.3,0.299999999999997,0
"Chicago Bulls_Miami Heat_2013","Chicago Bulls","Miami Heat","Miami Heat",13.2,5,"/teams/CHI/2013.html","/teams/MIA/2013.html",0.299999999999997,7.90000000000001,7.60000000000001,1
"Golden State Warriors_San Antonio Spurs_2013","Golden State Warriors","San Antonio Spurs","San Antonio Spurs",3.83333333333333,6,"/teams/GSW/2013.html","/teams/SAS/2013.html",0.900000000000006,6.40000000000001,5.5,1
"Memphis Grizzlies_San Antonio Spurs_2013","Memphis Grizzlies","San Antonio Spurs","San Antonio Spurs",11,4,"/teams/MEM/2013.html","/teams/SAS/2013.html",4.10000000000001,6.40000000000001,2.3,1
"Indiana Pacers_Miami Heat_2013","Indiana Pacers","Miami Heat","Miami Heat",4,7,"/teams/IND/2013.html","/teams/MIA/2013.html",4,7.90000000000001,3.90000000000001,1
"Miami Heat_San Antonio Spurs_2013","San Antonio Spurs","Miami Heat","Miami Heat",-0.714285714285714,7,"/teams/SAS/2013.html","/teams/MIA/2013.html",6.40000000000001,7.90000000000001,1.5,1
"Chicago Bulls_Philadelphia 76ers_2012","Philadelphia 76ers","Chicago Bulls","Philadelphia 76ers",-1.66666666666667,6,"/teams/PHI/2012.html","/teams/CHI/2012.html",4.19999999999999,8.09999999999999,3.90000000000001,0
"Miami Heat_New York Knicks_2012","New York Knicks","Miami Heat","Miami Heat",14,5,"/teams/NYK/2012.html","/teams/MIA/2012.html",3.09999999999999,6,2.90000000000001,1
"Indiana Pacers_Orlando Magic_2012","Orlando Magic","Indiana Pacers","Indiana Pacers",10.8,5,"/teams/ORL/2012.html","/teams/IND/2012.html",0.799999999999997,3.3,2.5,1
"Dallas Mavericks_Oklahoma City Thunder_2012","Dallas Mavericks","Oklahoma City Thunder","Oklahoma City Thunder",6.5,4,"/teams/DAL/2012.html","/teams/OKC/2012.html",1,6.19999999999999,5.19999999999999,1
"San Antonio Spurs_Utah Jazz_2012","Utah Jazz","San Antonio Spurs","San Antonio Spurs",16,4,"/teams/UTA/2012.html","/teams/SAS/2012.html",0.700000000000003,7.2,6.5,1
"Denver Nuggets_Los Angeles Lakers_2012","Denver Nuggets","Los Angeles Lakers","Los Angeles Lakers",-0.428571428571429,7,"/teams/DEN/2012.html","/teams/LAL/2012.html",2.89999999999999,1.39999999999999,-1.5,1
"Atlanta Hawks_Boston Celtics_2012","Boston Celtics","Atlanta Hawks","Boston Celtics",-4.66666666666667,6,"/teams/BOS/2012.html","/teams/ATL/2012.html",2.5,3.39999999999999,0.899999999999991,0
"Los Angeles Clippers_Memphis Grizzlies_2012","Los Angeles Clippers","Memphis Grizzlies","Los Angeles Clippers",0.714285714285714,7,"/teams/LAC/2012.html","/teams/MEM/2012.html",2.5,2,-0.5,0
"Boston Celtics_Philadelphia 76ers_2012","Philadelphia 76ers","Boston Celtics","Boston Celtics",3.71428571428571,7,"/teams/PHI/2012.html","/teams/BOS/2012.html",4.19999999999999,2.5,-1.69999999999999,1
"Indiana Pacers_Miami Heat_2012","Indiana Pacers","Miami Heat","Miami Heat",6.5,6,"/teams/IND/2012.html","/teams/MIA/2012.html",3.3,6,2.7,1
"Los Angeles Lakers_Oklahoma City Thunder_2012","Los Angeles Lakers","Oklahoma City Thunder","Oklahoma City Thunder",9.4,5,"/teams/LAL/2012.html","/teams/OKC/2012.html",1.39999999999999,6.19999999999999,4.8,1
"Los Angeles Clippers_San Antonio Spurs_2012","Los Angeles Clippers","San Antonio Spurs","San Antonio Spurs",11.5,4,"/teams/LAC/2012.html","/teams/SAS/2012.html",2.5,7.2,4.7,1
"Oklahoma City Thunder_San Antonio Spurs_2012","Oklahoma City Thunder","San Antonio Spurs","Oklahoma City Thunder",-4.5,6,"/teams/OKC/2012.html","/teams/SAS/2012.html",6.19999999999999,7.2,1.00000000000001,0
"Boston Celtics_Miami Heat_2012","Boston Celtics","Miami Heat","Miami Heat",4.85714285714286,7,"/teams/BOS/2012.html","/teams/MIA/2012.html",2.5,6,3.5,1
"Miami Heat_Oklahoma City Thunder_2012","Miami Heat","Oklahoma City Thunder","Miami Heat",-4,5,"/teams/MIA/2012.html","/teams/OKC/2012.html",6,6.19999999999999,0.199999999999989,0
"Chicago Bulls_Indiana Pacers_2011","Indiana Pacers","Chicago Bulls","Chicago Bulls",7.4,5,"/teams/IND/2011.html","/teams/CHI/2011.html",-1.10000000000001,7.3,8.40000000000001,1
"Miami Heat_Philadelphia 76ers_2011","Philadelphia 76ers","Miami Heat","Miami Heat",7.4,5,"/teams/PHI/2011.html","/teams/MIA/2011.html",1.5,7.5,6,1
"Atlanta Hawks_Orlando Magic_2011","Atlanta Hawks","Orlando Magic","Atlanta Hawks",1.83333333333333,6,"/teams/ATL/2011.html","/teams/ORL/2011.html",-0.799999999999997,5.5,6.3,0
"Dallas Mavericks_Portland Trail Blazers_2011","Portland Trail Blazers","Dallas Mavericks","Dallas Mavericks",5.16666666666667,6,"/teams/POR/2011.html","/teams/DAL/2011.html",1.5,4.2,2.7,1
"Memphis Grizzlies_San Antonio Spurs_2011","Memphis Grizzlies","San Antonio Spurs","Memphis Grizzlies",-3.16666666666667,6,"/teams/MEM/2011.html","/teams/SAS/2011.html",2.30000000000001,5.7,3.39999999999999,0
"Los Angeles Lakers_New Orleans Hornets_2011","New Orleans Hornets","Los Angeles Lakers","Los Angeles Lakers",7.16666666666667,6,"/teams/NOH/2011.html","/teams/LAL/2011.html",0.900000000000006,6.09999999999999,5.19999999999999,1
"Boston Celtics_New York Knicks_2011","New York Knicks","Boston Celtics","Boston Celtics",8.5,4,"/teams/NYK/2011.html","/teams/BOS/2011.html",0.799999999999997,5.40000000000001,4.60000000000001,1
"Denver Nuggets_Oklahoma City Thunder_2011","Denver Nuggets","Oklahoma City Thunder","Oklahoma City Thunder",4.8,5,"/teams/DEN/2011.html","/teams/OKC/2011.html",4.8,3.8,-1,1
"Memphis Grizzlies_Oklahoma City Thunder_2011","Memphis Grizzlies","Oklahoma City Thunder","Oklahoma City Thunder",4,7,"/teams/MEM/2011.html","/teams/OKC/2011.html",2.30000000000001,3.8,1.49999999999999,1
"Boston Celtics_Miami Heat_2011","Boston Celtics","Miami Heat","Miami Heat",4.4,5,"/teams/BOS/2011.html","/teams/MIA/2011.html",5.40000000000001,7.5,2.09999999999999,1
"Atlanta Hawks_Chicago Bulls_2011","Atlanta Hawks","Chicago Bulls","Chicago Bulls",7,6,"/teams/ATL/2011.html","/teams/CHI/2011.html",-0.799999999999997,7.3,8.09999999999999,1
"Dallas Mavericks_Los Angeles Lakers_2011","Dallas Mavericks","Los Angeles Lakers","Dallas Mavericks",-14,4,"/teams/DAL/2011.html","/teams/LAL/2011.html",4.2,6.09999999999999,1.89999999999999,0
