"series_code","away","home","winner","avg_margin","games","away_url","home_url","away_net","home_net","net","home_win"
"Cleveland Cavaliers_Washington Wizards_2006","Washington Wizards","Cleveland Cavaliers","Cleveland Cavaliers",-0.166666666666667,6,"/teams/WAS/2006.html","/teams/CLE/2006.html",1.90000000000001,2.19999999999999,0.299999999999983,1
"Sacramento Kings_San Antonio Spurs_2006","Sacramento Kings","San Antonio Spurs","San Antonio Spurs",9.5,6,"/teams/SAC/2006.html","/teams/SAS/2006.html",1.60000000000001,6.8,5.19999999999999,1
"Chicago Bulls_Miami Heat_2006","Chicago Bulls","Miami Heat","Miami Heat",3,6,"/teams/CHI/2006.html","/teams/MIA/2006.html",0.599999999999994,3.90000000000001,3.30000000000001,1
"Denver Nuggets_Los Angeles Clippers_2006","Denver Nuggets","Los Angeles Clippers","Los Angeles Clippers",7.6,5,"/teams/DEN/2006.html","/teams/LAC/2006.html",0.200000000000003,1.60000000000001,1.40000000000001,1
"Indiana Pacers_New Jersey Nets_2006","Indiana Pacers","New Jersey Nets","New Jersey Nets",3.66666666666667,6,"/teams/IND/2006.html","/teams/NJN/2006.html",1.90000000000001,1.39999999999999,-0.500000000000014,1
"Los Angeles Lakers_Phoenix Suns_2006","Los Angeles Lakers","Phoenix Suns","Phoenix Suns",6.71428571428571,7,"/teams/LAL/2006.html","/teams/PHO/2006.html",2.5,5.60000000000001,3.10000000000001,1
"Detroit Pistons_Milwaukee Bucks_2006","Milwaukee Bucks","Detroit Pistons","Detroit Pistons",9.6,5,"/teams/MIL/2006.html","/teams/DET/2006.html",-1,6.59999999999999,7.59999999999999,1
"Dallas Mavericks_Memphis Grizzlies_2006","Memphis Grizzlies","Dallas Mavericks","Dallas Mavericks",14,4,"/teams/MEM/2006.html","/teams/DAL/2006.html",3.7,6,2.3,1
"Dallas Mavericks_San Antonio Spurs_2006","Dallas Mavericks","San Antonio Spurs","Dallas Mavericks",-4,7,"/teams/DAL/2006.html","/teams/SAS/2006.html",6,6.8,0.799999999999997,0
"Cleveland Cavaliers_Detroit Pistons_2006","Cleveland Cavaliers","Detroit Pistons","Detroit Pistons",5.71428571428571,7,"/teams/CLE/2006.html","/teams/DET/2006.html",2.19999999999999,6.59999999999999,4.40000000000001,1
"Miami Heat_New Jersey Nets_2006","New Jersey Nets","Miami Heat","Miami Heat",6.4,5,"/teams/NJN/2006.html","/teams/MIA/2006.html",1.39999999999999,3.90000000000001,2.50000000000001,1
"Los Angeles Clippers_Phoenix Suns_2006","Los Angeles Clippers","Phoenix Suns","Phoenix Suns",-1,7,"/teams/LAC/2006.html","/teams/PHO/2006.html",1.60000000000001,5.60000000000001,4,1
"Detroit Pistons_Miami Heat_2006","Miami Heat","Detroit Pistons","Miami Heat",-5.16666666666667,6,"/teams/MIA/2006.html","/teams/DET/2006.html",3.90000000000001,6.59999999999999,2.69999999999999,0
"Dallas Mavericks_Phoenix Suns_2006","Phoenix Suns","Dallas Mavericks","Dallas Mavericks",2.66666666666667,6,"/teams/PHO/2006.html","/teams/DAL/2006.html",5.60000000000001,6,0.399999999999991,1
"Dallas Mavericks_Miami Heat_2006","Miami Heat","Dallas Mavericks","Miami Heat",-1,6,"/teams/MIA/2006.html","/teams/DAL/2006.html",3.90000000000001,6,2.09999999999999,0
"Detroit Pistons_Philadelphia 76ers_2005","Philadelphia 76ers","Detroit Pistons","Detroit Pistons",8,5,"/teams/PHI/2005.html","/teams/DET/2005.html",-0.800000000000011,3.8,4.60000000000001,1
"Dallas Mavericks_Houston Rockets_2005","Houston Rockets","Dallas Mavericks","Dallas Mavericks",2.71428571428571,7,"/teams/HOU/2005.html","/teams/DAL/2005.html",4.09999999999999,5.7,1.60000000000001,1
"Boston Celtics_Indiana Pacers_2005","Indiana Pacers","Boston Celtics","Indiana Pacers",-0.571428571428571,7,"/teams/IND/2005.html","/teams/BOS/2005.html",0.799999999999997,0.899999999999991,0.0999999999999943,0
"Sacramento Kings_Seattle SuperSonics_2005","Sacramento Kings","Seattle SuperSonics","Seattle SuperSonics",4.4,5,"/teams/SAC/2005.html","/teams/SEA/2005.html",2.10000000000001,2.30000000000001,0.200000000000003,1
"Miami Heat_New Jersey Nets_2005","New Jersey Nets","Miami Heat","Miami Heat",12.75,4,"/teams/NJN/2005.html","/teams/MIA/2005.html",-1.5,6.5,8,1
"Chicago Bulls_Washington Wizards_2005","Washington Wizards","Chicago Bulls","Washington Wizards",-1.83333333333333,6,"/teams/WAS/2005.html","/teams/CHI/2005.html",-0.299999999999997,1.09999999999999,1.39999999999999,0
"Denver Nuggets_San Antonio Spurs_2005","Denver Nuggets","San Antonio Spurs","San Antonio Spurs",10.2,5,"/teams/DEN/2005.html","/teams/SAS/2005.html",2,7.8,5.8,1
"Memphis Grizzlies_Phoenix Suns_2005","Memphis Grizzlies","Phoenix Suns","Phoenix Suns",11,4,"/teams/MEM/2005.html","/teams/PHO/2005.html",2.30000000000001,7.10000000000001,4.8,1
"Miami Heat_Washington Wizards_2005","Washington Wizards","Miami Heat","Miami Heat",9,4,"/teams/WAS/2005.html","/teams/MIA/2005.html",-0.299999999999997,6.5,6.8,1
"San Antonio Spurs_Seattle SuperSonics_2005","Seattle SuperSonics","San Antonio Spurs","San Antonio Spurs",6.83333333333333,6,"/teams/SEA/2005.html","/teams/SAS/2005.html",2.30000000000001,7.8,5.49999999999999,1
"Detroit Pistons_Indiana Pacers_2005","Indiana Pacers","Detroit Pistons","Detroit Pistons",7,6,"/teams/IND/2005.html","/teams/DET/2005.html",0.799999999999997,3.8,3,1
"Dallas Mavericks_Phoenix Suns_2005","Dallas Mavericks","Phoenix Suns","Phoenix Suns",6.66666666666667,6,"/teams/DAL/2005.html","/teams/PHO/2005.html",5.7,7.10000000000001,1.40000000000001,1
"Phoenix Suns_San Antonio Spurs_2005","San Antonio Spurs","Phoenix Suns","San Antonio Spurs",-4.2,5,"/teams/SAS/2005.html","/teams/PHO/2005.html",7.8,7.10000000000001,-0.699999999999989,0
"Detroit Pistons_Miami Heat_2005","Detroit Pistons","Miami Heat","Detroit Pistons",-3.28571428571429,7,"/teams/DET/2005.html","/teams/MIA/2005.html",3.8,6.5,2.7,0
"Detroit Pistons_San Antonio Spurs_2005","Detroit Pistons","San Antonio Spurs","San Antonio Spurs",-1.85714285714286,7,"/teams/DET/2005.html","/teams/SAS/2005.html",3.8,7.8,4,1
"Boston Celtics_Indiana Pacers_2004","Boston Celtics","Indiana Pacers","Indiana Pacers",16.75,4,"/teams/BOS/2004.html","/teams/IND/2004.html",-1.40000000000001,5.80000000000001,7.20000000000002,1
